Year,Genre,Distinct_Title_Count
1965,Adventure,2
1965,Animation,1
1965,Biography,2
1965,Comedy,1
1965,Crime,1
1965,Drama,5
1965,Family,1
1965,History,1
1965,Horror,1
1965,Romance,2
1965,Sci-Fi,1
1965,Short,1
1965,Thriller,1
1965,War,2
1965,Western,2
1966,Action,3
1966,Adventure,3
1966,Biography,2
1966,Comedy,3
1966,Crime,2
1966,Drama,6
1966,History,2
1966,Horror,1
1966,Musical,1
1966,Thriller,3
1966,War,1
1966,Western,1
1967,Action,1
1967,Adventure,1
1967,Biography,1
1967,Comedy,1
1967,Crime,3
1967,Drama,3
1967,Horror,1
1967,Mystery,1
1967,Thriller,2
1968,Adventure,2
1968,Comedy,2
1968,Crime,1
1968,Drama,4
1968,Family,2
1968,Fantasy,1
1968,Horror,2
1968,Music,1
1968,Musical,1
1968,Romance,1
1968,Sci-Fi,2
1968,Western,3
1969,Action,2
1969,Adventure,2
1969,Biography,1
1969,Comedy,3
1969,Crime,3
1969,Drama,8
1969,Music,1
1969,Musical,1
1969,Romance,1
1969,Thriller,3
1969,Western,1
1970,Action,4
1970,Adventure,1
1970,Biography,2
1970,Comedy,5
1970,Documentary,1
1970,Drama,9
1970,History,3
1970,Music,2
1970,Musical,1
1970,Romance,1
1970,Sci-Fi,1
1970,War,2
1971,Action,3
1971,Adventure,1
1971,Comedy,1
1971,Crime,4
1971,Drama,7
1971,Family,2
1971,Fantasy,2
1971,Horror,3
1971,Musical,2
1971,Sci-Fi,4
1971,Thriller,4
1972,Action,1
1972,Comedy,2
1972,Crime,2
1972,Drama,5
1972,Family,1
1972,History,1
1972,Horror,1
1972,Mystery,2
1972,Sci-Fi,3
1972,Thriller,2
1973,Action,2
1973,Adventure,1
1973,Biography,2
1973,Comedy,3
1973,Crime,3
1973,Drama,5
1973,Horror,1
1973,Mystery,1
1973,Sci-Fi,2
1973,Thriller,2
1973,Western,2
1974,Action,1
1974,Adventure,2
1974,Comedy,3
1974,Crime,1
1974,Drama,4
1974,Family,1
1974,Horror,2
1974,Mystery,2
1974,Romance,3
1974,Thriller,3
1974,Western,1
1975,Action,4
1975,Adventure,4
1975,Biography,1
1975,Comedy,5
1975,Crime,4
1975,Drama,7
1975,Fantasy,1
1975,History,1
1975,Mystery,1
1975,Romance,1
1975,Sci-Fi,1
1975,Thriller,1
1976,Action,1
1976,Adventure,2
1976,Biography,1
1976,Comedy,3
1976,Crime,1
1976,Drama,6
1976,Family,1
1976,Horror,2
1976,Romance,1
1976,Sci-Fi,2
1976,Sport,1
1976,Thriller,1
1977,Action,3
1977,Adventure,4
1977,Comedy,3
1977,Drama,6
1977,Fantasy,2
1977,History,1
1977,Horror,3
1977,Music,1
1977,Musical,1
1977,Romance,1
1977,Sci-Fi,3
1977,Thriller,3
1977,War,2
1978,Action,4
1978,Adventure,4
1978,Comedy,1
1978,Crime,2
1978,Documentary,1
1978,Drama,7
1978,Family,1
1978,Fantasy,1
1978,History,1
1978,Horror,4
1978,Music,1
1978,Musical,1
1978,Romance,2
1978,Sci-Fi,1
1978,Thriller,4
1978,War,2
1979,Action,5
1979,Adventure,6
1979,Biography,1
1979,Comedy,5
1979,Crime,3
1979,Drama,8
1979,Family,2
1979,Horror,2
1979,Music,2
1979,Mystery,1
1979,Romance,2
1979,Sci-Fi,8
1979,Sport,2
1979,War,2
1980,Action,6
1980,Adventure,6
1980,Biography,5
1980,Comedy,6
1980,Crime,1
1980,Drama,11
1980,Fantasy,3
1980,History,1
1980,Horror,2
1980,Music,1
1980,Musical,1
1980,Mystery,1
1980,Romance,2
1980,Sci-Fi,3
1980,Sport,2
1980,Thriller,3
1980,War,1
1980,Western,2
1981,Action,7
1981,Adventure,12
1981,Animation,1
1981,Biography,3
1981,Comedy,7
1981,Crime,3
1981,Drama,8
1981,Fantasy,4
1981,History,3
1981,Horror,6
1981,Mystery,4
1981,Sci-Fi,4
1981,Sport,1
1981,Thriller,9
1981,War,1
1981,Western,1
1982,Action,6
1982,Adventure,6
1982,Animation,1
1982,Biography,1
1982,Comedy,6
1982,Crime,2
1982,Drama,10
1982,Family,2
1982,Fantasy,6
1982,History,1
1982,Horror,6
1982,Music,1
1982,Musical,1
1982,Mystery,2
1982,Romance,1
1982,Sci-Fi,7
1982,Thriller,5
1982,Western,1
1983,Action,7
1983,Adventure,7
1983,Biography,1
1983,Comedy,7
1983,Crime,3
1983,Drama,11
1983,Family,1
1983,Fantasy,3
1983,Horror,3
1983,Music,1
1983,Musical,1
1983,Romance,4
1983,Sci-Fi,7
1983,Thriller,5
1984,Action,14
1984,Adventure,12
1984,Animation,1
1984,Biography,1
1984,Comedy,8
1984,Crime,4
1984,Drama,12
1984,Family,2
1984,Fantasy,6
1984,History,2
1984,Horror,8
1984,Music,2
1984,Mystery,1
1984,Romance,2
1984,Sci-Fi,6
1984,Thriller,3
1985,Action,12
1985,Adventure,9
1985,Biography,1
1985,Comedy,6
1985,Crime,3
1985,Drama,13
1985,Family,1
1985,Fantasy,3
1985,Horror,5
1985,Music,1
1985,Mystery,3
1985,Romance,4
1985,Sci-Fi,4
1985,Thriller,8
1985,War,1
1985,Western,1
1986,Action,8
1986,Adventure,10
1986,Comedy,10
1986,Crime,3
1986,Drama,10
1986,Family,1
1986,Fantasy,3
1986,History,1
1986,Horror,6
1986,Musical,1
1986,Mystery,2
1986,Romance,5
1986,Sci-Fi,3
1986,Sport,1
1986,Thriller,2
1986,War,1
1987,Action,12
1987,Adventure,9
1987,Animation,1
1987,Biography,4
1987,Comedy,14
1987,Crime,5
1987,Drama,15
1987,Family,3
1987,Fantasy,6
1987,History,2
1987,Horror,9
1987,Music,1
1987,Romance,1
1987,Sci-Fi,4
1987,Thriller,8
1987,War,1
1988,Action,12
1988,Adventure,5
1988,Animation,4
1988,Biography,1
1988,Comedy,11
1988,Crime,5
1988,Drama,17
1988,Family,2
1988,Fantasy,5
1988,Horror,9
1988,Musical,2
1988,Mystery,1
1988,Romance,3
1988,Sci-Fi,3
1988,Thriller,7
1988,War,1
1989,Action,11
1989,Adventure,9
1989,Biography,3
1989,Comedy,14
1989,Crime,5
1989,Documentary,1
1989,Drama,13
1989,Family,1
1989,Fantasy,5
1989,History,1
1989,Horror,6
1989,Music,1
1989,Musical,1
1989,Mystery,1
1989,Romance,3
1989,Sci-Fi,3
1989,Sport,2
1989,Thriller,6
1989,War,1
1990,Action,10
1990,Adventure,7
1990,Comedy,11
1990,Crime,4
1990,Drama,11
1990,Family,3
1990,Fantasy,5
1990,Horror,9
1990,Music,1
1990,Musical,1
1990,Romance,5
1990,Sci-Fi,4
1990,Short,1
1990,Sport,1
1990,Thriller,4
1990,Western,1
1991,Action,11
1991,Adventure,8
1991,Animation,1
1991,Biography,1
1991,Comedy,12
1991,Crime,10
1991,Drama,18
1991,Family,3
1991,Fantasy,5
1991,History,1
1991,Horror,1
1991,Music,3
1991,Romance,3
1991,Sci-Fi,2
1991,Thriller,5
1992,Action,10
1992,Adventure,4
1992,Animation,1
1992,Biography,2
1992,Comedy,13
1992,Crime,10
1992,Drama,20
1992,Family,4
1992,Fantasy,2
1992,History,1
1992,Horror,7
1992,Music,2
1992,Musical,2
1992,Mystery,1
1992,Romance,8
1992,Sci-Fi,4
1992,Thriller,7
1992,Western,1
1993,Action,12
1993,Adventure,10
1993,Animation,2
1993,Biography,6
1993,Comedy,14
1993,Crime,11
1993,Drama,30
1993,Family,6
1993,Fantasy,7
1993,History,2
1993,Horror,4
1993,Music,3
1993,Musical,1
1993,Mystery,2
1993,Romance,10
1993,Sci-Fi,2
1993,Sport,1
1993,Thriller,8
1993,War,1
1994,Action,19
1994,Adventure,10
1994,Animation,1
1994,Biography,3
1994,Comedy,32
1994,Crime,19
1994,Documentary,1
1994,Drama,30
1994,Family,7
1994,Fantasy,7
1994,Horror,3
1994,Music,1
1994,Musical,1
1994,Mystery,3
1994,Romance,9
1994,Sci-Fi,2
1994,Sport,1
1994,Thriller,7
1994,War,1
1995,Action,27
1995,Adventure,14
1995,Animation,2
1995,Biography,4
1995,Comedy,27
1995,Crime,23
1995,Drama,44
1995,Family,4
1995,Fantasy,6
1995,History,5
1995,Horror,5
1995,Music,1
1995,Musical,3
1995,Mystery,5
1995,Romance,17
1995,Sci-Fi,5
1995,Thriller,17
1995,War,1
1996,Action,25
1996,Adventure,18
1996,Animation,3
1996,Biography,4
1996,Comedy,42
1996,Crime,25
1996,Drama,64
1996,Family,7
1996,Fantasy,5
1996,History,4
1996,Horror,7
1996,Music,3
1996,Musical,1
1996,Mystery,6
1996,Romance,18
1996,Sci-Fi,8
1996,Sport,4
1996,Thriller,19
1996,War,1
1997,Action,37
1997,Adventure,21
1997,Animation,4
1997,Biography,6
1997,Comedy,44
1997,Crime,27
1997,Documentary,1
1997,Drama,67
1997,Family,9
1997,Fantasy,7
1997,History,2
1997,Horror,9
1997,Music,2
1997,Musical,2
1997,Mystery,15
1997,Romance,17
1997,Sci-Fi,17
1997,Thriller,19
1997,War,3
1998,Action,27
1998,Adventure,20
1998,Animation,6
1998,Biography,5
1998,Comedy,68
1998,Crime,27
1998,Drama,81
1998,Family,8
1998,Fantasy,8
1998,History,4
1998,Horror,12
1998,Music,6
1998,Musical,2
1998,Mystery,10
1998,Romance,28
1998,Sci-Fi,8
1998,Sport,3
1998,Thriller,13
1998,War,4
1998,Western,1
1999,Action,28
1999,Adventure,20
1999,Animation,6
1999,Biography,10
1999,Comedy,84
1999,Crime,27
1999,Documentary,1
1999,Drama,97
1999,Family,10
1999,Fantasy,13
1999,History,3
1999,Horror,12
1999,Music,3
1999,Musical,1
1999,Mystery,17
1999,Romance,42
1999,Sci-Fi,13
1999,Sport,6
1999,Thriller,31
1999,War,3
2000,Action,35
2000,Adventure,34
2000,Animation,11
2000,Biography,7
2000,Comedy,76
2000,Crime,36
2000,Documentary,2
2000,Drama,88
2000,Family,9
2000,Fantasy,15
2000,History,3
2000,Horror,16
2000,Music,8
2000,Musical,3
2000,Mystery,12
2000,Romance,39
2000,Sci-Fi,13
2000,Sport,7
2000,Thriller,25
2000,War,1
2000,Western,2
2001,Action,42
2001,Adventure,31
2001,Animation,9
2001,Biography,8
2001,Comedy,90
2001,Crime,45
2001,Documentary,4
2001,Drama,95
2001,Family,8
2001,Fantasy,15
2001,History,3
2001,Horror,11
2001,Music,8
2001,Musical,4
2001,Mystery,21
2001,Romance,44
2001,Sci-Fi,12
2001,Sport,6
2001,Thriller,25
2001,War,3
2001,Western,1
2002,Action,43
2002,Adventure,37
2002,Animation,10
2002,Biography,10
2002,Comedy,82
2002,Crime,51
2002,Documentary,5
2002,Drama,123
2002,Family,16
2002,Fantasy,11
2002,History,5
2002,Horror,16
2002,Music,6
2002,Musical,4
2002,Mystery,23
2002,Romance,47
2002,Sci-Fi,12
2002,Sport,5
2002,Thriller,34
2002,War,4
2003,Action,42
2003,Adventure,36
2003,Animation,6
2003,Biography,10
2003,Comedy,79
2003,Crime,39
2003,Documentary,5
2003,Drama,94
2003,Family,13
2003,Fantasy,18
2003,History,6
2003,Horror,15
2003,Music,6
2003,Musical,3
2003,Mystery,16
2003,Romance,36
2003,Sci-Fi,9
2003,Sport,2
2003,Thriller,22
2003,War,1
2003,Western,1
2004,Action,44
2004,Adventure,34
2004,Animation,11
2004,Biography,15
2004,Comedy,98
2004,Crime,36
2004,Documentary,9
2004,Drama,111
2004,Family,22
2004,Fantasy,9
2004,History,6
2004,Horror,20
2004,Music,11
2004,Musical,3
2004,Mystery,18
2004,Romance,59
2004,Sci-Fi,15
2004,Sport,6
2004,Thriller,27
2004,War,5
2005,Action,46
2005,Adventure,41
2005,Animation,8
2005,Biography,12
2005,Comedy,88
2005,Crime,41
2005,Documentary,10
2005,Drama,123
2005,Family,22
2005,Fantasy,15
2005,History,9
2005,Horror,25
2005,Music,11
2005,Musical,7
2005,Mystery,20
2005,Romance,45
2005,Sci-Fi,6
2005,Sport,13
2005,Thriller,28
2005,War,5
2005,Western,3
2006,Action,41
2006,Adventure,38
2006,Animation,17
2006,Biography,16
2006,Comedy,103
2006,Crime,43
2006,Documentary,9
2006,Drama,131
2006,Family,24
2006,Fantasy,18
2006,History,11
2006,Horror,21
2006,Music,8
2006,Musical,4
2006,Mystery,16
2006,Romance,39
2006,Sci-Fi,14
2006,Short,1
2006,Sport,14
2006,Thriller,33
2006,War,6
2006,Western,1
2007,Action,37
2007,Adventure,32
2007,Animation,11
2007,Biography,19
2007,Comedy,80
2007,Crime,37
2007,Documentary,7
2007,Drama,108
2007,Family,20
2007,Fantasy,19
2007,History,11
2007,Horror,26
2007,Music,9
2007,Musical,2
2007,Mystery,18
2007,Romance,40
2007,Sci-Fi,9
2007,Short,2
2007,Sport,10
2007,Thriller,38
2007,War,4
2007,Western,2
2008,Action,51
2008,Adventure,44
2008,Animation,14
2008,Biography,17
2008,Comedy,87
2008,Crime,38
2008,Documentary,9
2008,Drama,121
2008,Family,20
2008,Fantasy,17
2008,History,11
2008,Horror,21
2008,Music,10
2008,Musical,4
2008,Mystery,21
2008,Romance,45
2008,Sci-Fi,17
2008,Short,1
2008,Sport,6
2008,Thriller,30
2008,War,9
2009,Action,52
2009,Adventure,42
2009,Animation,16
2009,Biography,15
2009,Comedy,99
2009,Crime,39
2009,Documentary,5
2009,Drama,135
2009,Family,20
2009,Fantasy,19
2009,History,4
2009,Horror,30
2009,Music,11
2009,Musical,3
2009,Mystery,27
2009,News,1
2009,Romance,55
2009,Sci-Fi,20
2009,Sport,5
2009,Thriller,43
2009,War,5
2010,Action,58
2010,Adventure,37
2010,Animation,13
2010,Biography,12
2010,Comedy,102
2010,Crime,35
2010,Documentary,7
2010,Drama,126
2010,Family,23
2010,Fantasy,21
2010,History,4
2010,Horror,25
2010,Music,7
2010,Musical,3
2010,Mystery,13
2010,Romance,52
2010,Sci-Fi,14
2010,Sport,2
2010,Thriller,37
2010,War,5
2010,Western,3
2011,Action,61
2011,Adventure,44
2011,Animation,17
2011,Biography,15
2011,Comedy,90
2011,Crime,32
2011,Documentary,8
2011,Drama,116
2011,Family,13
2011,Fantasy,17
2011,History,6
2011,Horror,25
2011,Music,5
2011,Musical,2
2011,Mystery,20
2011,Romance,35
2011,Sci-Fi,19
2011,Sport,3
2011,Thriller,44
2011,War,6
2011,Western,2
2012,Action,50
2012,Adventure,36
2012,Animation,13
2012,Biography,11
2012,Comedy,95
2012,Crime,38
2012,Documentary,8
2012,Drama,106
2012,Family,12
2012,Fantasy,17
2012,History,5
2012,Horror,38
2012,Music,8
2012,Musical,4
2012,Mystery,17
2012,Romance,37
2012,Sci-Fi,18
2012,Short,1
2012,Sport,5
2012,Thriller,40
2012,War,2
2012,Western,2
2013,Action,58
2013,Adventure,52
2013,Animation,17
2013,Biography,18
2013,Comedy,82
2013,Crime,42
2013,Documentary,9
2013,Drama,132
2013,Family,13
2013,Fantasy,17
2013,History,7
2013,Horror,29
2013,Music,10
2013,Musical,2
2013,Mystery,14
2013,Romance,33
2013,Sci-Fi,24
2013,Sport,4
2013,Thriller,43
2013,War,2
2013,Western,1
2014,Action,75
2014,Adventure,47
2014,Animation,16
2014,Biography,23
2014,Comedy,71
2014,Crime,38
2014,Documentary,11
2014,Drama,136
2014,Family,14
2014,Fantasy,17
2014,History,8
2014,Horror,21
2014,Music,11
2014,Musical,3
2014,Mystery,26
2014,News,1
2014,Romance,34
2014,Sci-Fi,26
2014,Sport,5
2014,Thriller,54
2014,War,4
2014,Western,4
2015,Action,68
2015,Adventure,46
2015,Animation,13
2015,Biography,19
2015,Comedy,63
2015,Crime,42
2015,Documentary,6
2015,Drama,116
2015,Family,15
2015,Fantasy,9
2015,History,12
2015,Horror,34
2015,Music,6
2015,Musical,3
2015,Mystery,27
2015,Romance,28
2015,Sci-Fi,21
2015,Sport,7
2015,Thriller,48
2015,War,1
2015,Western,5
2016,Action,52
2016,Adventure,35
2016,Animation,7
2016,Biography,16
2016,Comedy,35
2016,Crime,20
2016,Drama,68
2016,Family,11
2016,Fantasy,13
2016,History,6
2016,Horror,19
2016,Music,1
2016,Musical,3
2016,Mystery,10
2016,Romance,15
2016,Sci-Fi,10
2016,Sport,6
2016,Thriller,18
2016,War,1
2017,Action,11
2017,Adventure,5
2017,Comedy,4
2017,Crime,3
2017,Drama,12
2017,Family,1
2017,Fantasy,2
2017,History,1
2017,Horror,1
2017,Music,2
2017,Musical,1
2017,Mystery,1
2017,Romance,2
2017,Sci-Fi,3
2017,Thriller,2
2017,War,1
